,BOT_X,BOT_Y,CREW_X,CREW_Y,Optimal_Direction
0,0,0,0,0,
1,0,0,0,1,STAY
2,0,0,0,2,RIGHT
3,0,0,0,3,RIGHT
4,0,0,0,4,RIGHT
5,0,0,0,5,RIGHT
6,0,0,0,6,SE
7,0,0,0,7,RIGHT
8,0,0,0,8,SE
9,0,0,0,9,RIGHT
10,0,0,0,10,RIGHT
11,0,0,1,0,STAY
12,0,0,1,1,RIGHT
13,0,0,1,2,SE
14,0,0,1,3,SE
15,0,0,1,4,RIGHT
16,0,0,1,5,RIGHT
17,0,0,1,6,RIGHT
18,0,0,1,7,SE
19,0,0,1,8,RIGHT
20,0,0,1,9,SE
21,0,0,1,10,RIGHT
22,0,0,2,0,
23,0,0,2,1,SE
24,0,0,2,2,SE
25,0,0,2,3,RIGHT
26,0,0,2,4,RIGHT
27,0,0,2,5,RIGHT
28,0,0,2,6,RIGHT
29,0,0,2,7,RIGHT
30,0,0,2,8,RIGHT
31,0,0,2,9,RIGHT
32,0,0,2,10,SE
33,0,0,3,0,DOWN
34,0,0,3,1,SE
35,0,0,3,2,SE
36,0,0,3,3,SE
37,0,0,3,4,
38,0,0,3,5,SE
39,0,0,3,6,
40,0,0,3,7,RIGHT
41,0,0,3,8,RIGHT
42,0,0,3,9,RIGHT
43,0,0,3,10,RIGHT
44,0,0,4,0,DOWN
45,0,0,4,1,DOWN
46,0,0,4,2,SE
47,0,0,4,3,
48,0,0,4,4,
49,0,0,4,5,SE
50,0,0,4,6,
51,0,0,4,7,RIGHT
52,0,0,4,8,RIGHT
53,0,0,4,9,RIGHT
54,0,0,4,10,RIGHT
55,0,0,5,0,
56,0,0,5,1,DOWN
57,0,0,5,2,DOWN
58,0,0,5,3,DOWN
59,0,0,5,4,DOWN
60,0,0,5,5,STAY
61,0,0,5,6,RIGHT
62,0,0,5,7,SE
63,0,0,5,8,RIGHT
64,0,0,5,9,RIGHT
65,0,0,5,10,RIGHT
66,0,0,6,0,DOWN
67,0,0,6,1,DOWN
68,0,0,6,2,DOWN
69,0,0,6,3,DOWN
70,0,0,6,4,
71,0,0,6,5,SE
72,0,0,6,6,
73,0,0,6,7,SE
74,0,0,6,8,
75,0,0,6,9,RIGHT
76,0,0,6,10,RIGHT
77,0,0,7,0,
78,0,0,7,1,DOWN
79,0,0,7,2,DOWN
80,0,0,7,3,DOWN
81,0,0,7,4,SE
82,0,0,7,5,SE
83,0,0,7,6,SE
84,0,0,7,7,SE
85,0,0,7,8,SE
86,0,0,7,9,SE
87,0,0,7,10,RIGHT
88,0,0,8,0,DOWN
89,0,0,8,1,DOWN
90,0,0,8,2,DOWN
91,0,0,8,3,DOWN
92,0,0,8,4,SE
93,0,0,8,5,SE
94,0,0,8,6,SE
95,0,0,8,7,SE
96,0,0,8,8,SE
97,0,0,8,9,SE
98,0,0,8,10,RIGHT
99,0,0,9,0,
100,0,0,9,1,DOWN
101,0,0,9,2,DOWN
102,0,0,9,3,DOWN
103,0,0,9,4,DOWN
104,0,0,9,5,SE
105,0,0,9,6,SE
106,0,0,9,7,SE
107,0,0,9,8,
108,0,0,9,9,SE
109,0,0,9,10,RIGHT
110,0,0,10,0,DOWN
111,0,0,10,1,DOWN
112,0,0,10,2,
113,0,0,10,3,DOWN
114,0,0,10,4,DOWN
115,0,0,10,5,SE
116,0,0,10,6,SE
117,0,0,10,7,SE
118,0,0,10,8,SE
119,0,0,10,9,SE
